X Value , Y Value 
0,10.0
1,10.5
2,11.0
3,11.5
4,12.0
5,12.5
6,13.0
7,13.5
8,14.0
9,14.5
10,15.0
11,15.5
12,16.0
13,16.5
14,17.0
15,17.5
16,18.0
17,18.5
18,19.0
19,19.5
20,20.0
21,20.5
22,21.0
23,21.5
24,22.0
25,22.5
26,23.0
27,23.5
28,24.0
29,24.5
30,25.0
31,25.5
32,26.0
33,26.5
34,27.0
35,27.5
36,28.0
37,28.5
38,29.0
39,29.5
40,30.0
41,30.5
42,31.0
43,31.5
44,32.0
45,32.5
46,33.0
47,33.5
48,34.0
49,34.5
50,35.0
51,35.5
52,36.0
53,36.5
54,37.0
55,37.5
56,38.0
57,38.5
58,39.0
59,39.5
60,40.0
61,40.5
62,41.0
63,41.5
64,42.0
65,42.5
66,43.0
67,43.5
68,44.0
69,44.5
70,45.0
71,45.5
72,46.0
73,46.5
74,47.0
75,47.5
76,48.0
77,48.5
78,49.0
79,49.5
80,50.0
81,50.5
82,51.0
83,51.5
84,52.0
85,52.5
86,53.0
87,53.5
88,54.0
89,54.5
90,55.0
91,55.5
92,56.0
93,56.5
94,57.0
95,57.5
96,58.0
97,58.5
98,59.0
99,59.5
100,60.0
101,60.5
102,61.0
103,61.5
104,62.0
105,62.5
106,63.0
107,63.5
108,64.0
109,64.5
110,65.0
111,65.5
112,66.0
113,66.5
114,67.0
115,67.5
116,68.0
117,68.5
118,69.0
119,69.5
120,70.0
121,70.5
122,71.0
123,71.5
124,72.0
125,72.5
126,73.0
127,73.5
128,74.0
129,74.5
130,75.0
131,75.5
132,76.0
133,76.5
134,77.0
135,77.5
136,78.0
137,78.5
138,79.0
139,79.5
140,80.0
141,80.5
142,81.0
143,81.5
144,82.0
145,82.5
146,83.0
147,83.5
148,84.0
149,84.5
150,85.0
151,85.5
152,86.0
153,86.5
154,87.0
155,87.5
156,88.0
157,88.5
158,89.0
159,89.5
160,90.0
161,90.5
162,91.0
163,91.5
164,92.0
165,92.5
166,93.0
167,93.5
168,94.0
169,94.5
170,95.0
171,95.5
172,96.0
173,96.5
174,97.0
175,97.5
176,98.0
177,98.5
178,99.0
179,99.5
180,100.0
181,100.5
182,101.0
183,101.5
184,102.0
185,102.5
186,103.0
187,103.5
188,104.0
189,104.5
190,105.0
191,105.5
192,106.0
193,106.5
194,107.0
195,107.5
196,108.0
197,108.5
198,109.0
199,109.5
200,110.0
201,110.5
202,111.0
203,111.5
204,112.0
205,112.5
206,113.0
207,113.5
208,114.0
209,114.5
210,115.0
211,115.5
212,116.0
213,116.5
214,117.0
215,117.5
216,118.0
217,118.5
218,119.0
219,119.5
220,120.0
221,120.5
222,121.0
223,121.5
224,122.0
225,122.5
226,123.0
227,123.5
228,124.0
229,124.5
230,125.0
231,125.5
232,126.0
233,126.5
234,127.0
235,127.5
236,128.0
237,128.5
238,129.0
239,129.5
240,130.0
241,130.5
242,131.0
243,131.5
244,132.0
245,132.5
246,133.0
247,133.5
248,134.0
249,134.5
250,135.0
251,135.5
252,136.0
253,136.5
254,137.0
255,137.5
256,138.0
257,138.5
258,139.0
259,139.5
260,140.0
261,140.5
262,141.0
263,141.5
264,142.0
265,142.5
266,143.0
267,143.5
268,144.0
269,144.5
270,145.0
271,145.5
272,146.0
273,146.5
274,147.0
275,147.5
276,148.0
277,148.5
278,149.0
279,149.5
280,150.0
281,150.5
282,151.0
283,151.5
284,152.0
285,152.5
286,153.0
287,153.5
288,154.0
289,154.5
290,155.0
291,155.5
292,156.0
