ID , Favorite Number 
0,879
1,459
2,959
3,517
4,912
5,449
6,298
7,988
8,201
9,472
10,506
11,331
12,276
13,321
14,609
15,498
16,893
17,470
18,47
19,459
20,509
21,354
22,77
23,321
24,979
25,228
26,232
27,229
28,189
29,737
30,272
31,78
32,852
33,30
34,856
35,308
36,5
37,367
38,416
39,458
40,196
41,823
42,501
43,966
44,59
45,340
46,307
47,325
48,457
49,638
50,769
51,680
52,437
53,572
54,442
55,373
56,49
57,922
58,820
59,836
60,988
61,355
62,913
63,591
64,896
65,1000
66,595
67,884
68,738
69,490
70,117
71,114
72,359
73,785
74,68
75,246
76,923
77,257
78,188
79,945
80,893
81,270
82,87
83,807
84,415
85,597
86,200
87,919
88,242
89,974
90,654
91,586
92,262
93,145
94,236
95,226
96,678
97,252
98,573
99,952
100,362
101,502
102,492
103,346
104,334
105,603
106,674
107,183
108,392
109,917
110,417
111,368
112,511
113,171
114,285
115,149
116,463
117,824
118,234
119,665
120,168
121,523
122,713
123,860
124,110
125,767
126,52
127,451
128,332
129,46
130,305
131,365
132,394
133,351
134,203
135,420
136,509
137,640
138,715
139,255
140,861
141,346
142,894
143,112
144,938
145,888
146,160
147,942
148,536
149,67
150,214
151,529
152,497
153,526
154,961
155,942
156,57
157,408
158,382
159,990
160,789
161,419
162,715
163,999
164,989
165,96
166,268
167,606
168,456
169,461
170,51
171,471
172,751
173,949
174,598
175,476
176,906
177,898
178,858
179,374
180,462
181,297
182,294
183,514
184,928
185,257
186,106
187,347
188,19
189,106
190,734
191,512
192,541
193,671
194,207
195,497
196,951
197,719
198,660
199,756
200,900
201,685
202,615
203,598
204,857
205,602
206,431
207,720
208,682
209,804
210,994
211,920
212,590
213,573
214,591
215,208
216,496
217,691
218,737
219,152
220,791
221,767
222,960
223,291
224,71
225,484
226,514
227,536
228,14
229,374
230,239
231,568
232,755
233,813
234,714
235,110
236,672
237,276
238,75
239,864
240,664
241,122
242,329
243,169
244,451
245,669
246,965
247,928
248,327
249,453
250,729
251,272
252,601
253,44
254,48
255,357
256,361
257,784
258,271
259,784
260,691
261,203
262,121
263,247
264,106
265,712
266,464
267,300
268,495
269,993
270,231
271,920
272,783
273,785
274,53
275,604
276,266
277,339
278,35
279,516
280,64
281,366
282,623
283,153
284,942
285,37
286,673
287,977
288,358
289,927
290,74
291,196
292,61
293,640
294,573
295,558
296,845
297,370
298,510
299,12
300,515
301,60
302,646
303,917
304,667
305,60
306,609
307,934
308,391
309,604
310,566
311,106
312,399
313,503
314,325
315,517
316,2
317,255
318,688
319,963
320,410
321,332
322,856
323,545
324,814
325,114
326,640
327,87
328,601
329,720
330,574
331,41
332,623
333,344
334,758
335,705
336,856
337,304
338,57
339,915
340,901
341,956
342,746
343,701
344,39
345,302
346,193
347,656
348,672
349,220
350,721
351,687
352,1
353,339
354,556
355,691
356,882
357,821
358,814
359,616
360,88
361,725
362,950
363,408
364,960
365,315
366,873
367,42
368,178
369,480
370,473
371,479
372,841
373,167
374,171
375,961
376,606
377,318
378,863
379,303
380,732
381,56
382,528
383,137
384,759
385,857
386,650
387,733
388,934
389,829
390,211
391,172
392,879
393,781
394,170
395,589
396,137
397,95
398,628
399,859
400,941
401,105
402,398
403,765
404,294
405,321
406,373
407,570
408,487
409,844
410,977
411,926
412,332
413,241
414,584
415,278
416,232
417,753
418,678
419,556
420,197
421,742
422,962
423,767
424,523
425,845
426,908
427,27
428,247
429,305
430,283
431,680
432,765
433,14
434,915
435,994
436,8
437,150
438,475
439,212
440,158
441,235
442,77
443,609
444,809
445,626
446,134
447,337
448,696
449,816
450,333
451,956
452,156
453,156
454,297
455,302
456,502
457,464
458,890
459,199
460,438
461,85
462,626
463,597
464,990
465,147
466,837
467,241
468,677
469,242
470,563
471,795
472,167
473,872
474,806
475,115
476,409
477,335
478,590
479,917
480,563
481,161
482,786
483,104
484,927
485,435
486,354
487,203
488,69
489,187
490,744
491,12
492,441
493,904
494,324
495,799
496,132
497,269
498,110
499,463
500,342
501,961
502,878
503,324
504,934
505,54
506,152
507,777
508,336
509,171
510,924
511,928
512,637
513,968
514,393
515,357
516,41
517,870
518,818
519,996
520,453
521,929
522,728
523,112
524,500
525,788
526,166
527,176
528,451
529,999
530,684
531,424
532,594
533,718
534,35
535,554
536,863
537,9
538,896
539,919
540,513
541,603
542,228
543,686
544,562
545,610
546,471
547,342
548,318
549,291
550,804
551,436
552,640
553,15
554,120
555,460
556,956
557,805
558,340
559,670
560,623
561,317
562,2
563,463
564,754
565,831
566,293
567,537
568,326
569,710
570,497
571,400
572,409
573,316
574,745
575,129
576,62
577,162
578,263
579,281
580,611
581,444
582,102
583,983
584,652
585,880
586,299
587,479
588,749
589,857
590,82
591,228
592,932
593,252
594,493
595,577
596,397
597,318
598,607
599,709
600,87
601,984
602,431
603,217
604,492
605,632
606,184
607,382
608,486
609,845
610,869
611,456
612,60
613,551
614,722
615,897
616,164
617,40
618,605
619,275
620,594
621,419
622,403
623,134
624,343
625,927
626,96
627,986
628,389
629,880
630,750
631,570
632,286
633,787
634,134
635,701
636,580
637,452
638,557
639,498
640,844
641,254
642,717
643,863
644,740
645,630
646,157
647,670
648,139
649,780
650,547
651,149
652,360
653,302
654,853
655,784
656,370
657,795
658,191
659,605
660,598
661,281
662,494
663,92
664,527
665,124
666,819
667,721
668,296
669,820
670,836
671,712
672,229
673,337
674,404
675,899
676,416
677,518
678,131
679,619
680,111
681,511
682,72
683,528
684,242
685,608
686,818
687,719
688,666
689,227
690,102
691,471
692,965
693,446
694,627
695,184
696,694
697,479
698,769
699,353
700,938
701,596
702,192
703,292
704,709
705,475
706,725
707,928
708,35
709,491
710,39
711,922
712,762
713,334
714,248
715,954
716,308
717,155
718,919
719,29
720,755
721,700
722,58
723,660
724,653
725,721
726,456
727,584
728,224
729,894
730,100
731,792
732,518
733,816
734,758
735,970
736,81
737,344
738,612
739,354
740,626
741,689
742,550
743,417
744,458
745,84
746,7
747,492
748,732
749,349
750,127
751,208
752,538
753,521
754,22
755,159
756,667
757,262
758,130
759,354
760,287
761,808
762,297
763,684
764,689
765,860
766,562
767,190
768,803
769,362
770,78
771,108
772,696
773,276
774,4
775,3
776,186
777,877
778,890
779,669
780,91
781,168
782,144
783,667
784,833
785,670
786,390
787,181
788,27
789,603
790,277
791,441
792,952
793,398
794,675
795,94
796,191
797,787
798,744
799,292
800,848
801,871
802,710
803,643
804,570
805,384
806,141
807,636
808,390
809,438
810,556
811,767
812,72
813,1
814,36
815,50
816,565
817,16
818,558
819,242
820,536
821,379
822,405
823,361
824,439
825,470
826,46
827,557
828,475
829,947
830,540
831,233
832,917
833,59
834,416
835,450
836,283
837,568
838,53
839,824
840,809
841,978
842,353
843,239
844,709
845,900
846,896
847,681
848,707
849,402
850,891
851,273
852,447
853,426
854,86
855,495
856,113
857,612
858,239
859,755
860,33
861,918
862,489
863,224
864,788
865,449
866,184
867,566
868,880
869,402
870,871
871,803
872,321
873,510
874,246
875,192
876,422
877,85
878,352
879,396
880,437
881,817
882,24
883,39
884,251
885,219
886,787
887,789
888,920
889,234
890,56
891,573
892,719
893,42
894,988
895,852
896,227
897,365
898,627
899,179
900,692
901,984
902,793
903,122
904,137
905,357
906,206
907,799
908,152
909,1000
910,743
911,639
912,305
913,264
914,569
915,864
916,608
917,964
918,305
919,897
920,49
921,599
922,687
923,790
924,838
925,505
926,433
927,195
928,612
929,324
930,652
931,292
932,836
933,832
934,77
935,368
936,541
937,747
938,853
939,504
940,502
941,137
942,323
943,279
944,545
945,235
946,691
947,31
948,812
949,855
950,380
951,141
952,609
953,252
954,904
955,307
956,468
957,72
958,876
959,393
960,349
961,921
962,159
963,367
964,43
965,852
966,680
967,416
968,337
969,661
970,967
971,78
972,157
973,467
974,598
975,575
976,515
977,775
978,249
979,721
980,144
981,937
982,856
983,903
984,410
985,215
986,525
987,88
988,893
989,91
990,920
991,104
992,536
993,56
994,569
995,309
996,6
997,473
998,509
999,64
1000,649
