X Value , Y Value 
0,114
1,274
2,727
3,835
4,213
5,651
6,244
7,730
8,50
9,409
10,673
11,178
12,692
13,261
14,971
15,662
16,699
17,653
18,60
19,425
20,115
21,533
22,708
23,654
24,610
25,350
26,447
27,948
28,351
29,601
30,847
31,682
32,774
33,537
34,154
35,468
36,136
37,18
38,599
39,594
40,55
41,10
42,770
43,330
44,798
45,74
46,983
47,985
48,823
49,752
50,243
51,579
52,991
53,701
54,46
55,212
56,164
57,782
58,252
59,882
60,246
61,929
62,155
63,842
64,579
65,822
66,38
67,539
68,189
69,39
70,808
71,506
72,366
73,838
74,885
75,715
76,516
77,25
78,514
79,953
80,807
81,372
82,333
83,227
84,862
85,556
86,463
87,924
88,778
89,731
90,117
91,676
92,131
93,381
94,326
95,536
96,598
97,782
98,783
99,890
100,856
101,198
102,442
103,998
104,20
105,578
106,213
107,211
108,736
109,735
110,471
111,362
112,550
113,205
114,901
115,239
116,766
117,943
118,235
119,913
120,521
121,523
122,30
123,303
124,712
125,706
126,293
127,104
128,226
129,205
130,240
131,335
132,541
133,713
134,201
135,202
136,452
137,785
138,352
139,277
140,663
141,871
142,298
143,344
144,641
145,431
146,337
147,594
148,514
149,880
150,894
151,463
152,332
153,968
154,979
155,757
156,626
157,963
158,37
159,472
160,164
161,167
162,559
163,317
164,40
165,551
166,346
167,593
168,123
169,121
170,648
171,678
172,517
173,182
174,928
175,254
176,875
177,406
178,363
179,799
180,997
181,638
182,149
183,236
184,39
185,887
186,743
187,516
188,342
189,964
190,938
191,634
192,824
193,240
194,590
195,8
196,61
197,537
198,560
199,256
200,733
201,621
202,297
203,488
204,263
205,791
206,451
207,321
208,881
209,318
210,592
211,524
212,197
213,123
214,979
215,986
216,400
217,412
218,231
219,319
220,518
221,594
222,574
223,210
224,273
225,523
226,169
227,404
228,473
229,533
230,975
231,986
232,965
233,776
234,801
235,696
236,999
237,655
238,450
239,692
240,726
241,987
242,707
243,917
244,957
245,699
246,860
247,558
248,409
249,419
250,31
251,90
252,591
253,200
254,223
255,29
256,724
257,86
258,830
259,261
260,302
261,302
262,571
263,564
264,455
265,248
266,402
267,667
268,379
269,521
270,518
271,932
272,95
273,112
274,274
275,844
276,945
277,618
278,37
279,435
280,454
281,448
282,27
283,594
284,238
285,995
286,280
287,831
288,796
289,820
290,399
291,808
292,113
293,841
294,961
295,866
296,361
297,327
298,354
299,676
300,797
301,217
302,989
303,525
304,95
305,427
306,935
307,119
308,565
309,5
310,625
311,86
312,740
313,103
314,583
315,761
316,877
317,398
318,141
319,4
320,677
321,704
322,665
323,111
324,783
325,761
326,972
327,551
328,260
329,443
330,995
331,663
332,147
333,275
334,426
335,643
336,227
337,998
338,535
339,936
340,388
341,680
342,188
343,291
344,198
345,884
346,918
347,277
348,354
349,93
350,11
351,271
352,5
353,543
354,704
355,984
356,354
357,723
358,24
359,888
360,718
361,766
362,881
363,520
364,47
365,237
366,201
367,89
368,334
369,86
370,686
371,357
372,316
373,478
374,610
375,965
376,673
377,499
378,389
379,72
380,951
381,157
382,757
383,749
384,101
385,758
386,440
387,670
388,704
389,626
390,362
391,449
392,67
393,749
394,858
395,484
396,343
397,104
398,142
399,227
400,533
401,744
402,791
403,761
404,608
405,651
406,608
407,545
408,185
409,663
410,568
411,320
412,698
